Organization Type,Organization Name,Organization Number,NCES ID,Mailing Street Address,Mailing City,Mailing State,Mailing Zip,Site Street Address,Site City,Site State,Site Zip,Phone,Fax,Email Address,Web Page Address,Administrator,County Name,County Number,Region Number,District Name,District Number,Organization Sub Type,Charter Type,Grade Range,Enrollment as of Oct 2019,Magnet Status,Residential Facility,Alternative Education Accountability 2019,High School Code (CEEB Code), Organization Status
district,DALLAS ISD,'057905,'4816230,9400 N CENTRAL EXPY,DALLAS,TX,75231,9400 N CENTRAL EXPY,DALLAS,TX,75231,(972) 925-3700,(972) 925-3201,arodriguez@dallasisd.org,www.dallasisd.org,MICHAEL HINOJOSA,DALLAS COUNTY,'057,'10,INDEPENDENT,153861,Active ,,,,,,,,
school,BRYAN ADAMS H S,'057905001,'481623001205,2101 MILLMAR DR,DALLAS,TX,75228-3399,2101 MILLMAR DR,DALLAS,TX,75228-3399,(972) 502-4900,(972) 502-4901,RBOTT@dallasisd.org,www.dallasisd.org/Page/23035,RYAN D BOTT,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,2166,No,No,Not registered,441723,Active 
school,W H ADAMSON H S,'057905002,'481623001206,309 E NINTH ST,DALLAS,TX,75203-2298,309 E NINTH ST,DALLAS,TX,75203-2298,(972) 749-1400,(972) 749-1401,dvega@dallasisd.org,www.dallasisd.org/adamson,DIANA V NUNEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,1619,No,No,Not registered,441830,Active 
school,NEW TECH H S AT B F DARRELL H S,'057905003,'481623001204,4730 LANCASTER RD,DALLAS,TX,75216,4730 LANCASTER RD,DALLAS,TX,75216,(214) 932-7600,(214) 932-7601,jachoice@dallasisd.org,www.dallasisd.org/newtech,JAMEILE RE'SHAD CHOICE,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,269,No,No,Not registered,441742,Active 
school,MOISES E MOLINA H S,'057905005,'481623007565,2355 DUNCANVILLE RD,DALLAS,TX,75211-6532,2355 DUNCANVILLE RD,DALLAS,TX,75211-6532,(972) 502-1000,(972) 502-1001,TERRODRIGUEZ@dallasisd.org,www.dallasisd.org/molina,TERRY-ANN LOUISE RODRIGUEZ,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,2260,No,No,Not registered,441791,Active 
school,HILLCREST H S,'057905006,'481623001277,9924 HILLCREST RD,DALLAS,TX,75230-5309,9924 HILLCREST RD,DALLAS,TX,75230-5309,(972) 502-6800,(972) 502-6801,CBAYER@dallasisd.org,www.dallasisd.org/hillcrest,JOSEPH SOTELO,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,1371,No,No,Not registered,441745,Active 
school,THOMAS JEFFERSON H S,'057905007,'481623001289,4001 WALNUT HILL LN,DALLAS,TX,75229-6239,4001 WALNUT HILL LN,DALLAS,TX,75229-6239,(972) 502-7300,(972) 502-7301,SAMASSEY@dallasisd.org,Www.dallasisd.org/tjefferson,SANDI MASSEY,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,1867,No,No,Not registered,441822,Active 
school,JUSTIN F KIMBALL H S,'057905008,'481623001295,3606 S WESTMORELAND RD,DALLAS,TX,75233-3016,3606 S WESTMORELAND RD,DALLAS,TX,75233-3016,(972) 502-2100,(972) 502-2101,llsmith@dallasisd.org,www.dallasisd.org/kimball,LLEWELLYN SMITH,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,1413,Yes,No,Not registered,441757,Active 
school,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,'057905009,'481623001304,2826 ELSIE FAYE HEGGINS ST,DALLAS,TX,75215-4797,2826 ELSIE FAYE HEGGINS ST,DALLAS,TX,75215-4797,(972) 925-7600,(972) 925-7601,JoMorgan@dallasisd.org,www.dallasisd.org/lincolnhumanities,JOHNNA ANN WEAVER,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,REGULAR INSTRUCTIONAL,,'09-12,679,Yes,No,Not registered,441760,Active 
school,BARBARA M MANNS MIDDLE DAEP,'057905011,'481623007244,3313 S BECKLEY AVE BLDG E,DALLAS,TX,75224,3313 S BECKLEY AVE BLDG E,DALLAS,TX,75224,(972) 925-7060,(972) 376-5317,gdupree@dallasisd.org,,MARLON L BROOKS,DALLAS COUNTY,'057,'10,DALLAS ISD,'057905,DAEP INSTRUCTIONAL,,'06-08,93,No,No,Not registered,,Active 
